k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
0,1,0,1.6369465836794825,-5.029385406488599,-0.6840703064623783,5.665247695426366,1.5,1.0,1.3823560317031447,-5.091811039526756,-0.369911041103399,6.283185307179586,-6.017033752880173
1,1,1,1.3823560317031447,-5.091811039526756,-0.369911041103399,6.283185307179586,0.0,1.0,1.1064864059888997,-5.517392514284897,-0.055751775744419696,6.283185307179586,-5.317990240046465
2,1,2,1.1064864059888997,-5.517392514284897,-0.055751775744419696,6.283185307179586,1.5,-1.0,0.8824686890185477,-4.48035433940704,0.12847400625814914,3.6845156400513766,-4.7234223151891115
3,1,3,0.8824686890185477,-4.48035433940704,0.12847400625814914,3.6845156400513766,-1.5,1.0,0.6228812809725077,-5.191748160920801,0.4037625206344084,5.505770287525184,-2.4777180828034684
4,1,4,0.6228812809725077,-5.191748160920801,0.4037625206344084,5.505770287525184,-1.5,-1.0,0.38137755070207713,-4.830074605408612,0.5871813510290513,3.66837660789286,-3.4143930345259865
5,1,5,0.38137755070207713,-4.830074605408612,0.5871813510290513,3.66837660789286,1.5,-1.0,0.19272137717018406,-3.773123470637861,0.616857220287968,0.5935173851783322,-2.3295611567332517
6,1,6,0.19272137717018406,-3.773123470637861,0.616857220287968,0.5935173851783322,-1.5,-1.0,0.019224595474802403,-3.469935633907633,0.5695238578490883,-0.946667248777592,-1.147090539999132
7,1,7,0.019224595474802403,-3.469935633907633,0.5695238578490883,-0.946667248777592,0.0,0.0,-0.1394518287576221,-3.17352848464849,0.48349987528673233,-1.72047965124712,-0.9715586188989834
8,1,8,-0.1394518287576221,-3.17352848464849,0.48349987528673233,-1.72047965124712,1.5,1.0,-0.28723115291232104,-2.955586483093979,0.4028380011063405,-1.6132374836078363,-0.9047856056076686
9,1,9,-0.28723115291232104,-2.955586483093979,0.4028380011063405,-1.6132374836078363,1.5,1.0,-0.4275575512508333,-2.8065279667702443,0.3359755137657914,-1.3372497468109819,-0.8116815222169521
10,1,10,-0.4275575512508333,-2.8065279667702443,0.3359755137657914,-1.3372497468109819,1.5,0.0,-0.5400782954656328,-2.2504148842959903,0.21425808321965983,-2.434348610922631,-0.7789268111622742
11,1,11,-0.5400782954656328,-2.2504148842959903,0.21425808321965983,-2.434348610922631,-1.5,1.0,-0.6902179100922008,-3.0027922925313595,0.19418600304221842,-0.4014416035488284,-0.8871121070061201
12,1,12,-0.6902179100922008,-3.0027922925313595,0.19418600304221842,-0.4014416035488284,-1.5,0.0,-0.8539162831110854,-3.273967460377692,0.1955811056637038,0.027902052429707558,-0.9730048128468376
13,1,13,-0.8539162831110854,-3.273967460377692,0.1955811056637038,0.027902052429707558,1.5,0.0,-0.991425069066796,-2.7501757191142113,0.14440177055282072,-1.0235867022176617,-1.3034070602619754
14,1,14,-0.991425069066796,-2.7501757191142113,0.14440177055282072,-1.0235867022176617,1.5,-1.0,-1.0801629500266856,-1.7747576191977914,-0.03170598988771012,-3.5221552088106165,-1.4343353500610005
15,1,15,-1.0801629500266856,-1.7747576191977914,-0.03170598988771012,-3.5221552088106165,0.0,0.0,-1.169572779051472,-1.7881965804957276,-0.20400757865648939,-3.446031775375585,-1.9455243644977303
16,1,16,-1.169572779051472,-1.7881965804957276,-0.20400757865648939,-3.446031775375585,1.5,1.0,-1.2682319695347184,-1.973183809664929,-0.3223179717394041,-2.3662078616582933,-2.1631586780172083
17,1,17,-1.2682319695347184,-1.973183809664929,-0.3223179717394041,-2.3662078616582933,1.5,1.0,-1.3756509646567556,-2.1483799024407424,-0.3872365882158183,-1.2983723295282847,-2.18692090302098
18,1,18,-1.3756509646567556,-2.1483799024407424,-0.3872365882158183,-1.2983723295282847,0.0,1.0,-1.508935694306354,-2.6656945929919695,-0.3679344290636674,0.38604318304301755,-2.3574330973788893
19,1,19,-1.508935694306354,-2.6656945929919695,-0.3679344290636674,0.38604318304301755,-1.5,1.0,-1.6844568033900704,-3.5104221816743255,-0.2342377616715713,2.6739333478419223,-2.775010523756236
20,1,20,-1.6844568033900704,-3.5104221816743255,-0.2342377616715713,2.6739333478419223,0.0,-1.0,-1.8333776505856125,-2.9784169439108403,-0.17823456329087475,1.1200639676139306,-3.8659112235946145
21,1,21,-1.8333776505856125,-2.9784169439108403,-0.17823456329087475,1.1200639676139306,0.0,-1.0,-1.956192404275793,-2.4562950738036085,-0.20098657989350377,-0.45504033205258,-3.8993167083844216
22,1,22,-1.956192404275793,-2.4562950738036085,-0.20098657989350377,-0.45504033205258,-1.5,1.0,-2.1224538130111643,-3.32522817470743,-0.10775751330782579,1.8645813317135596,-4.179106687512915
23,1,23,-2.1224538130111643,-3.32522817470743,-0.10775751330782579,1.8645813317135596,0.0,0.0,-2.2853511563182027,-3.2579468661407645,-0.01945265564085555,1.7660971533394048,-5.243112167862058
24,1,24,-2.2853511563182027,-3.2579468661407645,-0.01945265564085555,1.7660971533394048,1.5,0.0,-2.4243311398496408,-2.7795996706287562,0.023792276848157885,0.8648986497802686,-5.909874160377927
25,1,25,-2.4243311398496408,-2.7795996706287562,0.023792276848157885,0.8648986497802686,0.0,1.0,-2.5842048004673996,-3.1974732123551814,0.1381197263485934,2.2865489900087104,-6.301658748249839
26,1,26,-2.5842048004673996,-3.1974732123551814,0.1381197263485934,2.2865489900087104,1.5,-1.0,-2.694598305125818,-2.2078700931683706,0.12328542107159866,-0.29668610553989483,-7.469798570937304
27,1,27,-2.694598305125818,-2.2078700931683706,0.12328542107159866,-0.29668610553989483,0.0,0.0,-2.801738481787048,-2.142803533224599,0.10136163493649002,-0.438475722702173,-7.524194970712119
28,1,28,-2.801738481787048,-2.142803533224599,0.10136163493649002,-0.438475722702173,-1.5,0.0,-2.9256781334021498,-2.478793032302042,0.10980043154577142,0.16877593218562797,-8.099206098433342
29,1,29,-2.9256781334021498,-2.478793032302042,0.10980043154577142,0.16877593218562797,-1.5,-1.0,-3.0413734451811685,-2.31390623558037,0.06811985046040595,-0.8336116217073093,-8.88029368564884
30,1,30,-3.0413734451811685,-2.31390623558037,0.06811985046040595,-0.8336116217073093,0.0,-1.0,-3.129798424035559,-1.7684995770878102,-0.05760284691692488,-2.5144539475466163,-9.557046267225079
31,1,31,-3.129798424035559,-1.7684995770878102,-0.05760284691692488,-2.5144539475466163,0.0,0.0,3.064578707327132,-1.7761635163379037,-0.18055546746926376,-2.4590524110467773,-10.27145973349303
32,1,32,3.064578707327132,-1.7761635163379037,-0.18055546746926376,-2.4590524110467773,-1.5,-1.0,2.9777912630388053,-1.7357488857665357,-0.3377105378845203,-3.1431014083051303,-9.884327710088119
33,1,33,2.9777912630388053,-1.7357488857665357,-0.3377105378845203,-3.1431014083051303,-1.5,1.0,2.841921368098715,-2.7173978988017975,-0.3687069405265068,-0.6199280528397302,-9.625884746494968
34,1,34,2.841921368098715,-2.7173978988017975,-0.3687069405265068,-0.6199280528397302,0.0,0.0,2.7035403002639447,-2.7676213566954084,-0.38910247349183635,-0.40791065930659076,-8.600889977003995
35,1,35,2.7035403002639447,-2.7676213566954084,-0.38910247349183635,-0.40791065930659076,1.5,0.0,2.5818281147255506,-2.4342437107678814,-0.43285681004688215,-0.8750867311009161,-7.851836844029349
36,1,36,2.5818281147255506,-2.4342437107678814,-0.43285681004688215,-0.8750867311009161,0.0,1.0,2.434635731080536,-2.9438476729002865,-0.39217392994162953,0.8136576021050526,-7.187767393509348
37,1,37,2.434635731080536,-2.9438476729002865,-0.39217392994162953,0.8136576021050526,1.5,1.0,2.2836168055703463,-3.020378510203795,-0.3047901273688308,1.7476760514559744,-6.547665425115108
38,1,38,2.2836168055703463,-3.020378510203795,-0.3047901273688308,1.7476760514559744,-1.5,-1.0,2.1383273877896474,-2.9057883556139776,-0.2564577917762942,0.9666467118507327,-5.916655632711502
39,1,39,2.1383273877896474,-2.9057883556139776,-0.2564577917762942,0.9666467118507327,0.0,0.0,1.9942505911934358,-2.8815359319242324,-0.20641432757484618,1.00086928402896,-5.107115207991752
