trajectory,performance
1,-2733.618396070008
2,-2986.6650187236373
3,-2348.793801855836
4,-2580.840159107667
5,-2509.861779489676
6,-2810.6294275135383
7,-2836.9769373494314
8,-2372.222298328734
9,-2384.3903808156933
10,-2500.1681364024494
11,-2668.072215756678
12,-3267.696608424275
13,-3417.9749935759446
14,-3223.3196310292687
15,-2541.464061798006
16,-2559.738618502701
17,-2532.7224846868066
18,-2427.1982115327664
19,-2700.749959815772
20,-2455.2585413276697
21,-2596.9852980661203
22,-2439.1848142866893
23,-2519.9298203779863
24,-2265.268692311676
25,-2255.3222695302475
26,-2562.1622466969916
27,-2128.139373225826
28,-2542.838563639755
29,-1793.312258600219
30,-1749.698536466533
31,-615.4149415158219
32,-1239.4981202697409
33,-643.4622284157557
34,-687.5040727914858
35,-525.0479511966673
36,-1661.062395184921
37,-1552.5903690570976
38,-1443.1117080212566
39,-920.1400639927239
40,-305.58445528074037
41,-225.38742056888202
42,-150.03515837042144
43,-183.04045548516456
44,-118.65579604241265
45,-153.76494301905066
46,-123.79446932428489
47,-158.49283977219469
48,-156.33249220984305
49,-113.62982131084551
50,-176.43889630608203
51,-150.91525746034955
52,-147.5689860911576
53,-131.8061663790753
54,-191.863158144246
55,-178.67940175208685
56,-119.92295580547183
57,-140.90191236318987
58,-146.54385557318454
59,-150.7352432133327
60,-146.56338836666202
61,-151.4297680672055
62,-154.37763307100164
63,-139.0797789957241
64,-152.7499299432568
65,-137.40193860367998
66,-162.63511854317983
67,-396.4768551562663
68,-294.1033919196718
69,-345.47960828044535
70,-395.06707358814197
