trajectory,performance
1,-54166.50340400029
2,-36089.00290017555
3,-31634.241683306333
4,-30713.160561601748
5,-28890.417008940432
6,-61714.12508735704
7,-83803.33534855077
8,-75842.12319298965
9,-82917.58246919505
10,-72873.45443468931
11,-69101.74070961599
12,-58800.87445533891
13,-67161.39081123516
14,-76179.58129566674
15,-48886.72183128439
16,-30847.067659743272
17,-46047.47808519183
18,-29172.462080439753
19,-17335.641006899677
20,-13823.334696109043
21,-11471.893648226867
22,-8582.687607456688
23,-7051.547982302075
24,-7618.441197487445
25,-7585.6159172266325
26,-7356.3911701234565
27,-7281.373266298531
28,-6453.311881005804
29,-7056.370539927934
30,-7126.473190509324
31,-6379.12243069401
32,-6485.719759142787
33,-5577.15147310394
34,-5538.529668245615
35,-5775.520038906184
36,-5165.098596275819
37,-4599.083029769616
38,-4558.117155158092
39,-4507.204031263711
40,-4231.032433279326
41,-4275.700189001795
42,-4347.9535755940005
43,-4584.343544003775
44,-4435.181694373506
45,-4496.358268669956
46,-3503.5336304431594
47,-3526.707066146344
48,-3367.587191594101
49,-3458.869240256191
50,-3327.5291158037853
51,-4064.1536723321615
52,-3207.4509246421576
53,-4177.333052874346
54,-3299.8069971795258
55,-3227.657383934259
56,-3243.603860093426
57,-3087.430660353325
58,-3107.9499186585863
59,-3224.6413195907435
60,-4181.315768177229
61,-3115.040560487715
62,-4050.765928289621
63,-3268.7538775314756
64,-4167.035974297943
65,-3203.7982927986804
66,-3226.0955991498126
67,-3189.489131145339
68,-3325.068260936734
69,-3343.039652919259
70,-3249.43885305865
