k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
0,1.5707963267948966,0.0,-1.5707963267948966,0.0,-1.5,1.0,-4.934802200544679
1,1.5451815726965359,-0.512295081967213,-1.5118482393632027,1.1789617486338797,0.0,1.0,-4.755891044254038
2,1.509171827284494,-0.7201949082408381,-1.408876299033655,2.0594388065909524,-1.5,-1.0,-4.5005304754454265
3,1.469289608721334,-0.7976443712632006,-1.3351134015834787,1.475257949003527,0.0,1.0,-4.081970877339597
4,1.4176187786030179,-1.033416602366323,-1.2135432910419934,2.431402210829707,-1.5,-1.0,-3.831313649924641
5,1.3639246862874095,-1.0738818463121673,-1.1221659760493812,1.827546299852247,-1.5,-1.0,-3.3442044125641917
6,1.3096822854502739,-1.084848016742712,-1.0623723610919786,1.1958722991480504,0.0,1.0,-2.97425301119941
7,1.2411276417204558,-1.3710928745963604,-0.9475919228377506,2.2956087650845607,-1.5,-1.0,-2.795814038925024
8,1.1734983618085844,-1.3525855982374302,-0.8658049250367827,1.6357399560193562,-1.5,0.0,-2.3519732235992556
9,1.0901021826055004,-1.667923584061679,-0.7576501685287882,2.163095130159891,-1.5,-1.0,-2.1354040276125064
10,1.0094570550316584,-1.6129025514768396,-0.6846487174086973,1.460029022401819,-1.5,0.0,-1.7244043815433683
11,0.9123248965606483,-1.9426431694202018,-0.5817255325943849,2.0584636962862466,-1.5,0.0,-1.5712980757877886
12,0.7985666688362806,-2.2751645544873544,-0.44727093835963616,2.689091884694974,-1.5,0.0,-1.4581394625937838
13,0.668052533856329,-2.61028269959903,-0.28018517054282305,3.341715356336262,1.5,0.0,-1.423829782513952
14,0.5597806112691592,-2.165438451743395,-0.15178971674507427,2.5679090759549754,-1.5,0.0,-0.9005584863954619
15,0.4348285453560053,-2.499041318263079,0.007156603453149363,3.1789264039644722,1.5,0.0,-1.0066661104398333
16,0.3339064153296753,-2.0184426005266,0.11935333592237345,2.2439346493844816,1.5,-1.0,-0.5812063751105545
17,0.28055363071832334,-1.0670556922270387,0.10781281591882264,-0.23081040007101628,1.5,-1.0,-0.14992800754033264
18,0.2725050395447559,-0.16097182347134908,-0.020907844940072445,-2.5744132171779013,1.5,-1.0,-0.40737190159392533
19,0.3074921783721982,0.6997427765488468,-0.2609959345169416,-4.801761791537383,0.0,1.0,-1.339998130394481
20,0.3121697907711212,0.09355224797846029,-0.4089822464344234,-2.959726238349635,1.5,1.0,-0.7031530276224882
21,0.30920644139947623,-0.059266987432900375,-0.5080311540090864,-1.98097815149326,1.5,1.0,-0.550093627471383
22,0.300810169620733,-0.16792543557486467,-0.5629389349646611,-1.0981556191114936,-1.5,1.0,-0.46909423843135883
23,0.25214036216295294,-0.9733961491556005,-0.5144120099177956,0.9705385009373109,0.0,1.0,-0.422666730428961
24,0.18306957007836855,-1.381415841691688,-0.39664742391832725,2.355291719989366,-1.5,0.0,-0.563629087086085
25,0.09671230817752469,-1.7271452380168772,-0.24798793278712558,2.9731898226240334,-1.5,0.0,-0.6619957050890317
26,-0.006724434048915179,-2.068734844528797,-0.06854043760122294,3.5889499037180523,-1.5,-1.0,-0.8627542730181157
27,-0.1019402511217305,-1.9043163414563062,0.06058672875989721,2.5825433272224028,1.5,-1.0,-0.5288601047665114
28,-0.14950627112687487,-0.9513204001028875,0.06595408039628274,0.10734703272771062,1.5,-1.0,-0.07252876028155006
29,-0.15174818204363041,-0.044838218335111146,-0.04612730277956928,-2.2416276635170402,1.5,-1.0,-0.2765004911986815
30,-0.11101538776392522,0.8146558855941037,-0.2696548498705773,-4.470550941820161,0.0,1.0,-1.1175126511462103
31,-0.0998771022819286,0.22276570963993236,-0.4025556403815177,-2.658015810218808,1.5,1.0,-0.527760109601435
32,-0.09565992242377988,0.08434359716297438,-0.48795460620960146,-1.707979316561675,1.5,1.0,-0.39346587788853465
33,-0.09640396888013235,-0.014880929127049441,-0.5301737505558841,-0.8443828869256542,1.5,1.0,-0.32603812608356375
34,-0.1006913422772885,-0.08574746794312299,-0.5323445223407699,-0.04341543569771611,-1.5,1.0,-0.2939913132915985
35,-0.14467547645334888,-0.8796826835212073,-0.4322613068589192,2.0016643096370133,-1.5,0.0,-0.4468059125024689
36,-0.2063556354351726,-1.2336031796364744,-0.30141325641384864,2.616961008901411,-1.5,0.0,-0.5519456857638299
37,-0.28562389955231143,-1.5853652823427766,-0.13942606482441336,3.2397438317887053,-1.5,0.0,-0.7514867982514282
38,-0.38191649718528714,-1.9258519526595137,0.052557253589819025,3.8396663682846475,1.5,-1.0,-1.071219653892118
39,-0.4297833329608385,-0.9573367155110265,0.11853978325598453,1.3196505933233103,1.5,-1.0,-0.331663957271503
40,-0.4319027146748668,-0.04238763428056591,0.06556665855969343,-1.059462493925822,1.5,-1.0,-0.24705181603697413
41,-0.3902406290232181,0.8332417130329737,-0.1010951184223606,-3.3332355396410804,1.5,0.0,-0.7527455172624926
42,-0.3319169206357824,1.166474167748715,-0.29619220320704365,-3.901941695693661,1.5,1.0,-1.027189212475872
43,-0.28276339952904345,0.9830704221347788,-0.4378527427825455,-2.833210791510036,1.5,1.0,-0.7213457066756783
44,-0.24070169051390528,0.8412341803027634,-0.5308443831745935,-1.8598328078409603,1.5,1.0,-0.5480657139258291
45,-0.20378119606023917,0.7384098890733222,-0.5795738735125352,-0.9745898067588333,-1.5,1.0,-0.45218637351204055
46,-0.2072225716941281,-0.06882751267777865,-0.5245037929132322,1.1014016119860588,-1.5,0.0,-0.37893655986923985
47,-0.22901212223584513,-0.4357910108343406,-0.438262380352188,1.7248282512208841,-1.5,0.0,-0.4027677812296171
48,-0.26903636285168636,-0.8004848123168249,-0.3206745569253757,2.3517564685362453,-1.5,0.0,-0.48378945709834903
49,-0.3271529673163882,-1.1623320892940368,-0.17147953046146336,2.9839005292782472,-1.5,0.0,-0.649168206112684
50,-0.40288688406732887,-1.5146783350188135,0.00864830537506145,3.6025567167304957,1.5,-1.0,-0.9260259023311104
51,-0.4309481392163419,-0.5612251029802612,0.06464696412723447,1.1199731750434605,1.5,-1.0,-0.26836120511650224
52,-0.41364998530159347,0.3459630782949691,0.002536981020647408,-1.2421996621317413,1.5,-1.0,-0.2542502692198848
53,-0.35305746460877174,1.211850413856435,-0.17231762430518854,-3.4970921065167184,1.5,0.0,-0.8392546683134359
54,-0.27671231217736536,1.5269030486281276,-0.3732994341724782,-4.019636197345792,-1.5,1.0,-1.1403675752101567
55,-0.24803113857263082,0.5736234720946908,-0.4509182494292648,-1.5523763051357315,1.5,1.0,-0.40179251739423
56,-0.22438842440391993,0.47285428337421775,-0.4849547052882039,-0.6807291171787822,-1.5,1.0,-0.31988039640165983
57,-0.2420240581596309,-0.35271267511421944,-0.41254059827976197,1.4482821401688386,-1.5,0.0,-0.3398617593929934
58,-0.27799620581544066,-0.719442953116195,-0.30831464721514834,2.084519021292272,-1.5,0.0,-0.41548069778107444
59,-0.33211528448677774,-1.0823815734267415,-0.17224117974915779,2.721469349319811,-1.5,0.0,-0.5688648506801622
60,-0.4039510963124021,-1.436716236512487,-0.004942358261128765,3.3459764297605803,1.5,-1.0,-0.8261865057557711
61,-0.42838985139944047,-0.48877510174076666,0.03897219148514617,0.8782909949254987,1.5,-1.0,-0.23555150508363557
62,-0.40763378224488966,0.41512138309101654,-0.03478376694917731,-1.4751191686864695,1.5,-1.0,-0.28479032709673174
63,-0.3438311276997374,1.2760530909030456,-0.22063431297800976,-3.7170109205766484,1.5,1.0,-0.9391234281630156
64,-0.2887967840197953,1.1006868735988418,-0.3538440739039924,-2.664195218519653,1.5,1.0,-0.624081598901939
65,-0.24090958596581855,0.9577439610795352,-0.4381806035469743,-1.686730592859637,1.5,1.0,-0.4381563493286598
66,-0.19857927645136475,0.8466061902890761,-0.47737825727784616,-0.7839530746174368,-1.5,1.0,-0.33388995278947686
67,-0.1981735103354225,0.00811532231884493,-0.4083168858060138,1.3812274294366473,-1.5,0.0,-0.3013881729472105
