k,current_theta,current_thetadot,force,reward
0,1.5707963267948966,0.0,-3,-21.337005501361695
1,1.5715469530004629,0.1501252411132544,-3,-21.351052886227126
2,1.5730422031653726,0.29905003298194066,-3,-21.381251956919495
3,1.5752761172233447,0.44678281159442584,-3,-21.427435715544906
4,1.5782427671226895,0.5933299798689642,0,-12.48945520637655
5,1.5841517283781983,1.1817922511017538,0,-12.68734678509458
6,1.59297929431686,1.7655131877323307,0,-12.999618842216885
7,1.6047016648606565,2.3444741087593153,0,-13.424993050697093
8,1.619294720494322,2.918611126733091,0,-13.962406050012943
9,1.6367337266134325,3.487801223822122,0,-14.61096219685898
10,1.656992971255674,4.051848928448289,0,-15.369876507850288
11,1.6800453395613302,4.610473661131237,0,-16.238408452907215
12,1.7058618288227672,5.163297852287375,0,-17.21578736631632
13,1.734411008686905,5.709835972827531,0,-18.301130418931166
14,1.7656584319824027,6.249484659099568,0,-19.49335434258487
15,1.7995660027588807,6.781514155295618,0,-20.791082415275362
16,1.8360913094425988,7.305061336743635,0,-22.192548596411857
17,1.875186932512246,7.819124613929474,0,-23.69550113213921
18,1.9167997377451764,8.322561046586085,0,-25.297108410515094
19,1.9608701678264804,8.814086016260797,0,-26.99387030556366
20,2.007331546879717,9.292275810647263,0,-28.78153866960661
21,2.0561094141784895,9.755573459754498,0,-30.65505096823369
22,2.1071209048233257,10.202298128967236,0,-32.60848124895019
23,2.1602741963936496,10.630658314064798,0,-34.63501263706064
24,2.215468041374362,11.03876899614252,0,-36.726935306775495
25,2.272591405371576,11.424672799442835,0,-38.87567333627668
26,2.331523230639837,11.786365053652146,0,-41.07184299286136
27,2.3921323431295893,12.121822497950534,0,-43.305343802415265
28,2.45427751904646,12.429035183374106,0,-45.56548226143937
29,2.5178077237560976,12.706040941927577,0,-47.8411263108233
30,2.582562531790425,12.950961606865462,0,-50.12088680728917
31,2.6483727318002264,13.162040001960328,3,-61.39332033403535
32,2.7172766010728924,13.780773854533214,3,-64.90893343666987
33,2.7890661974985025,14.357919285122021,3,-68.50943588995167
34,2.863521417391955,14.891043978690503,3,-72.17309361684163
35,2.9404110411863047,15.377924758869906,3,-75.87814244459805
36,3.0194941131326676,15.816614389272571,3,-79.6032525701086
37,3.100521644884077,16.205506350281844,3,-83.32801595887582
38,-3.099946688945461,16.54339467000964,3,-84.41673809228998
39,-3.015799059333475,16.82952592239725,3,-82.79851410864745
40,-2.930480855635742,17.063640739546592,3,-81.05537375506938
41,-2.844250842547277,17.24600261769296,3,-79.19127490560172
42,-2.757363780527399,17.377412403975644,3,-77.21272127660642
43,-2.6700677425701187,17.45920759145603,3,-75.12870172172303
44,-2.5826015107507185,17.49324636388004,3,-72.9505196513997
45,-2.4951921249931646,17.481877151510826,3,-70.69152157719115
46,-2.408052648912732,17.427895216086466,3,-68.36674096596708
47,-2.3213802068365657,17.33448841523325,3,-65.99247918524846
48,-2.235354333047293,17.20517475785457,3,-63.58584881619815
49,-2.1501356599222134,17.04373462501585,3,-61.16430577714208
50,-2.065864956972844,16.854140589873882,3,-58.74519560456549
