u,index,value
-3,0,-2915.4562737245637
-3,1,-2862.917784166252
-3,2,-0.31246997028016427
-3,3,-1058.6936163715784
-3,4,-1025.3381549450244
-3,5,-2557.8085735882514
-3,6,-1285.7080411181369
-3,7,-1540.0074887848498
-3,8,-230.07579662123
-3,9,-2582.3158024077225
-3,10,-2131.4435013865027
-3,11,-4219.413423267552
-3,12,-2753.5993425662987
-3,13,-161.3039723687229
-3,14,-1738.498442384471
-3,15,-1047.2619125740653
-3,16,-2164.8811651926103
-3,17,-937.7978138527498
-3,18,-1016.7826111066264
-3,19,831.1731595873108
-3,20,-3473.4645804938573
-3,21,-3873.8557755947463
-3,22,-3862.566841542595
-3,23,-3015.187375922061
-3,24,-1012.6237933088099
-3,25,-1778.8454124710418
-3,26,-1401.289812287918
-3,27,-1703.44213241977
-3,28,-1280.934269042305
-3,29,96.66995569511107
-3,30,-360.1105780021
-3,31,-3536.923709336273
-3,32,-1964.3740771059183
-3,33,-4666.134718803104
-3,34,-3338.0565805965057
-3,35,-347.4867783458582
-3,36,-2269.846590583665
-3,37,-669.6438519546172
-3,38,-2183.0332555855202
-3,39,-322.77118939393824
-3,40,927.815312491349
-3,41,-1399.455081393038
-3,42,-4218.97963172039
-3,43,-993.2989028145607
-3,44,-3546.379236148617
-3,45,-4268.917522817118
-3,46,-2066.9082866263802
-3,47,-1955.6429737442195
-3,48,-1908.0316946823498
-3,49,-797.0215747637363
-3,50,1112.127873564674
-3,51,-878.3667794269977
-3,52,-2592.5085760655707
-3,53,-3339.03352542372
-3,54,-587.8326522095931
-3,55,-2657.372687499058
-3,56,-5019.805445287603
-3,57,-576.2074410165806
-3,58,-873.2095409321407
-3,59,-2270.768526402701
-3,60,581.2799429001565
-3,61,111.91196543206459
-3,62,-1732.5158910772418
-3,63,-2039.8099885093723
-3,64,-3403.2321616818813
-3,65,-657.090666826118
-3,66,-2420.749242174767
-3,67,-4221.256918819754
-3,68,-1279.4001995980593
-3,69,-3809.858131525618
-3,70,-355.32691707243293
-3,71,2410.1293313864417
-3,72,-2470.9290883518247
-3,73,-1376.9175311144995
-3,74,-2392.776153606687
-3,75,-3419.657454991027
-3,76,-580.6433674398186
-3,77,-2271.577882595769
-3,78,-3711.1812882895733
-3,79,-1714.6257756880025
-3,80,-349.8000185323974
-3,81,2366.0224902383425
-3,82,-2008.57777948801
-3,83,-1874.9135378294998
-3,84,-941.4709807577544
-3,85,-2497.665158513882
-3,86,-2672.8623562665125
-3,87,-496.7246699563602
-3,88,-2753.6033982294794
-3,89,-4112.137696611309
-3,90,-1512.005970075362
-3,91,-687.0235310958901
-3,92,470.56992167351893
-3,93,-2618.5889266879312
-3,94,-196.17761841208656
-3,95,-2744.1846773145994
-3,96,-895.8552858238324
-3,97,-3129.761907289664
-3,98,-985.2050985255662
-3,99,-3965.8106939116815
-3,100,-3667.9715066776525
-3,101,108.99781058723805
-3,102,1362.1141471550343
-3,103,-1134.2903501563276
-3,104,-1679.7677779680562
-3,105,-1678.9618985821226
-3,106,-1845.0829130374539
-3,107,-186.1541517757026
-3,108,-4431.480665702126
-3,109,-1922.3043023577843
-3,110,-5101.857938049329
-3,111,-2026.791144767243
-3,112,-329.367490214281
-3,113,-1178.8354485557331
-3,114,-983.6482785675596
-3,115,-2686.059208320246
-3,116,-1000.1818947293992
-3,117,-1747.2301308191081
-3,118,-37.21109188476761
-3,119,-2662.284926744703
-3,120,-2991.4905394848197
0,0,-5538.392133715227
0,1,-2396.849819976194
0,2,-51.286088597570846
0,3,-1041.1395203781426
0,4,-1176.4984976895273
0,5,-2427.402620591903
0,6,-1286.2029201955515
0,7,-1543.6427425872855
0,8,-131.8939966670856
0,9,-2873.5147321544823
0,10,-2456.655462985769
0,11,-3445.1158164666376
0,12,-2396.9358514558667
0,13,-268.2723042623666
0,14,-1662.5105466904042
0,15,-1043.17486775838
0,16,-2172.796263816227
0,17,-913.3674826898243
0,18,-876.2729094621559
0,19,703.0675234123324
0,20,-3791.454753284059
0,21,-3211.9113846350406
0,22,-3976.5022795171453
0,23,-3302.389392118732
0,24,-985.9533871931782
0,25,-1831.9764695634078
0,26,-1377.927248910398
0,27,-1716.2013252171596
0,28,-1167.1434904667553
0,29,8.22288244478776
0,30,-258.2471658377972
0,31,-3705.410762604304
0,32,-1907.1041575458917
0,33,-4507.148331107284
0,34,-2712.9702921940025
0,35,-428.7473499622499
0,36,-2197.2403960540028
0,37,-663.5588355509011
